timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2022-06-02 17:47:32.619401,0,236ee7b8-0349-443e-961b-d6223dca82fe,159.223.44.75,34444,34.125.121.193,5900,vnc,0
2022-06-02 17:55:28.116896,0,728956a8-419f-4c0d-8508-4a5258bf718a,185.220.205.13,46902,34.125.121.193,143,imap,0
2022-06-02 18:21:53.648302,1,a9237007-6701-4649-afdb-f405f28556b8,184.105.247.252,35552,34.125.121.193,5900,vnc,0
2022-06-02 18:26:23.322096,0,fe98dd7b-c812-4c7f-a470-f1bafcc1bf4a,162.142.125.10,51240,34.125.121.193,143,imap,0
2022-06-02 18:36:59.615122,0,4c972ba4-9275-42e7-b8b4-f17d50a59f4d,45.79.147.123,61000,34.125.121.193,110,pop3,0
2022-06-02 18:42:15.356782,0,eb72ce55-5a4b-44c2-9aab-8b0791d9df96,23.92.20.156,61000,34.125.121.193,143,imap,0
2022-06-02 19:10:53.324502,0,8009133e-6ef1-4bea-a363-93d77f719c92,59.29.239.109,58316,34.125.121.193,5900,vnc,0
2022-06-02 19:18:40.465776,1,29c37c6d-4795-4c4a-aea7-9c870109f220,162.142.125.222,54128,34.125.121.193,1080,socks5,0
2022-06-02 19:18:41.523698,0,8b3b85d5-71e0-460f-ad9e-05c78d01a046,162.142.125.222,40034,34.125.121.193,1080,socks5,0
2022-06-02 19:18:41.631848,1,3308f78b-d53f-40dc-a0aa-031ccdd3909f,162.142.125.222,46600,34.125.121.193,1080,socks5,0
2022-06-02 19:18:42.737346,0,d6cb5db2-e427-45bc-9af9-5dc28e41d1fc,162.142.125.222,55022,34.125.121.193,1080,socks5,0
2022-06-02 19:42:36.597040,0,88ab7dc1-5bdb-47fc-be10-2590cfc95347,167.94.138.60,60508,34.125.121.193,465,smtps,0
2022-06-02 19:43:55.192957,0,86072d00-0979-4f39-a376-1c6ec923dfc5,192.241.213.152,44884,34.125.121.193,5900,vnc,0
2022-06-02 19:44:20.984246,0,557cab73-2091-4478-9a3e-8e95ca5b66f8,159.203.2.200,58366,34.125.121.193,5900,vnc,0
